code_departement;code_region;annee;nombre;taux_pour_mille_habitants;population_insee;population_insee_par_annee;logement_insee;logement_insee_par_annee;libelle_du_departement;inscrits;abstentions;votants;blancs;nuls;pourcentage_absention;pourcentage_votant_departement;pourcentage_blanc;pourcentage_nuls;nb_voix;pourcentage_voix;sexe;nom
93;11;2018;5219;3.2;1632677;2018;679663;2018;Seine-Saint-Denis;793929;239927;554002;7607;3244;30.22;69.78;0.96;0.41;110118;13.87;0;1
78;11;2023;4028;2.74;1470778;2022;661312;2021;Yvelines;961245;211708;749537;9601;3430;22.02;77.98;1.0;0.36;13097;1.36;0;10
77;11;2017;18;0.01;1403997;2017;612076;2017;Seine-et-Marne;899303;223172;676131;11057;4145;24.82;75.18;1.23;0.46;170969;19.01;0;5
93;11;2024;12486;7.42;1681725;2022;705282;2021;Seine-Saint-Denis;793929;239927;554002;7607;3244;30.22;69.78;0.96;0.41;5890;0.74;1;6
94;11;2021;1873;1.32;1415367;2021;662168;2021;Val-de-Marne;796086;195409;600677;8501;3118;24.55;75.45;1.07;0.39;192427;24.17;0;5
91;11;2018;12;0.01;1296641;2018;564587;2018;Essonne;799500;192200;607300;8954;3405;24.04;75.96;1.12;0.43;105862;13.24;1;3
94;11;2021;1930;1.36;1415367;2021;662168;2021;Val-de-Marne;796086;195409;600677;8501;3118;24.55;75.45;1.07;0.39;43430;5.46;0;4
75;11;2016;131126;59.87;2190327;2016;1374377;2016;Paris;1368025;296668;1071357;11028;5267;21.69;78.31;0.81;0.39;372820;27.25;0;1
94;11;2017;2578;1.86;1387926;2017;633207;2017;Val-de-Marne;796086;195409;600677;8501;3118;24.55;75.45;1.07;0.39;3730;0.47;0;9
91;11;2016;5301;4.12;1287330;2016;550895;2016;Essonne;799500;192200;607300;8954;3405;24.04;75.96;1.12;0.43;29562;3.7;0;7
95;11;2017;5026;4.09;1228618;2017;504100;2017;Val-d'Oise;733529;192853;540676;8027;3064;26.29;73.71;1.09;0.42;91081;12.42;1;3
95;11;2023;2517;1.98;1270845;2022;529926;2021;Val-d'Oise;733529;192853;540676;8027;3064;26.29;73.71;1.09;0.42;3352;0.46;0;9
77;11;2022;13;0.01;1452399;2022;641376;2021;Seine-et-Marne;899303;223172;676131;11057;4145;24.82;75.18;1.23;0.46;36828;4.1;1;8
78;11;2020;2872;1.98;1449723;2020;654741;2020;Yvelines;961245;211708;749537;9601;3430;22.02;77.98;1.0;0.36;101398;10.55;1;3
92;11;2018;19898;12.29;1619120;2018;801737;2018;Hauts-de-Seine;997667;208790;788877;11841;2294;20.93;79.07;1.19;0.23;10518;1.05;1;6
78;11;2019;1929;1.33;1448207;2019;649383;2019;Yvelines;961245;211708;749537;9601;3430;22.02;77.98;1.0;0.36;13097;1.36;0;10
77;11;2017;4823;3.44;1403997;2017;612076;2017;Seine-et-Marne;899303;223172;676131;11057;4145;24.82;75.18;1.23;0.46;13797;1.53;0;2
92;11;2019;20804;12.81;1624357;2019;807711;2019;Hauts-de-Seine;997667;208790;788877;11841;2294;20.93;79.07;1.19;0.23;9743;0.98;0;10
91;11;2024;24;0.02;1324546;2022;587710;2021;Essonne;799500;192200;607300;8954;3405;24.04;75.96;1.12;0.43;13480;1.69;0;0
94;11;2024;2087;1.47;1419531;2022;662168;2021;Val-de-Marne;796086;195409;600677;8501;3118;24.55;75.45;1.07;0.39;69599;8.74;1;3
91;11;2023;10227;7.72;1324546;2022;587710;2021;Essonne;799500;192200;607300;8954;3405;24.04;75.96;1.12;0.43;15203;1.9;0;10
95;11;2019;5049;4.04;1249674;2019;517063;2019;Val-d'Oise;733529;192853;540676;8027;3064;26.29;73.71;1.09;0.42;91081;12.42;1;3
95;11;2016;2645;2.16;1221923;2016;497749;2016;Val-d'Oise;733529;192853;540676;8027;3064;26.29;73.71;1.09;0.42;6094;0.83;1;6
92;11;2021;2213;1.35;1635291;2021;824372;2021;Hauts-de-Seine;997667;208790;788877;11841;2294;20.93;79.07;1.19;0.23;287494;28.82;0;1
93;11;2016;1377;0.86;1606660;2016;662466;2016;Seine-Saint-Denis;793929;239927;554002;7607;3244;30.22;69.78;0.96;0.41;266632;33.58;0;5
77;11;2020;46;0.03;1428636;2020;634163;2020;Seine-et-Marne;899303;223172;676131;11057;4145;24.82;75.18;1.23;0.46;15042;1.67;0;10
75;11;2023;20598;9.74;2113705;2022;1396753;2021;Paris;1368025;296668;1071357;11028;5267;21.69;78.31;0.81;0.39;17267;1.26;0;0
93;11;2019;9114;5.54;1644903;2019;687238;2019;Seine-Saint-Denis;793929;239927;554002;7607;3244;30.22;69.78;0.96;0.41;6805;0.86;0;2
77;11;2019;5095;3.59;1421197;2019;626435;2019;Seine-et-Marne;899303;223172;676131;11057;4145;24.82;75.18;1.23;0.46;47893;5.33;0;4
93;11;2020;6993;4.22;1655422;2020;696152;2020;Seine-Saint-Denis;793929;239927;554002;7607;3244;30.22;69.78;0.96;0.41;17481;2.2;1;8
77;11;2020;1960;1.37;1428636;2020;634163;2020;Seine-et-Marne;899303;223172;676131;11057;4145;24.82;75.18;1.23;0.46;4600;0.51;0;9
95;11;2019;5015;4.01;1249674;2019;517063;2019;Val-d'Oise;733529;192853;540676;8027;3064;26.29;73.71;1.09;0.42;138166;18.84;0;1
93;11;2023;11268;6.7;1681725;2022;705282;2021;Seine-Saint-Denis;793929;239927;554002;7607;3244;30.22;69.78;0.96;0.41;3663;0.46;0;9
75;11;2018;10538;4.84;2175601;2018;1386846;2018;Paris;1368025;296668;1071357;11028;5267;21.69;78.31;0.81;0.39;317372;23.2;0;5
95;11;2023;6080;4.78;1270845;2022;529926;2021;Val-d'Oise;733529;192853;540676;8027;3064;26.29;73.71;1.09;0.42;8996;1.23;0;10
78;11;2022;30;0.02;1470778;2022;661312;2021;Yvelines;961245;211708;749537;9601;3430;22.02;77.98;1.0;0.36;101398;10.55;1;3
78;11;2021;15;0.01;1456365;2021;661312;2021;Yvelines;961245;211708;749537;9601;3430;22.02;77.98;1.0;0.36;13687;1.42;0;2
78;11;2023;739;0.5;1470778;2022;661312;2021;Yvelines;961245;211708;749537;9601;3430;22.02;77.98;1.0;0.36;11721;1.22;0;0
94;11;2018;1287;0.92;1396913;2018;640016;2018;Val-de-Marne;796086;195409;600677;8501;3118;24.55;75.45;1.07;0.39;43430;5.46;0;4
75;11;2017;10197;7.37;2187526;2017;1382779;2017;Paris;1368025;296668;1071357;11028;5267;21.69;78.31;0.81;0.39;69564;5.08;1;8
93;11;2017;3400;2.09;1623111;2017;671680;2017;Seine-Saint-Denis;793929;239927;554002;7607;3244;30.22;69.78;0.96;0.41;266632;33.58;0;5
